cle,port_id,libelles,unlocode,n
464,464,"Basseterre St Kitts, Port Zante",,2
604,604,"St Thomas Island USVI, Charlotte Amalie, US Virgin Islands",,2
3198,3198,"Dundee, Scotland",,2
48,48,"Aarhus, Denmark",,2
526,526,"Komodo Island Indonesia, East Nusa Tenggara",,2
697,697,"Bilbao-Getxo, Spain Biscay Basque Country",,2
813,813,"Heraklion, Crete Greece",,2
74,74,"Split, Croatia",,2
413,413,"Prince Rupert BC, Kaien Island Canada",,2
2144,2144,"Celebration Key Bahamas, Carnival Grand Bahama Island",,2
22,22,"Brisbane, Queensland Australia",,2
307,307,"Nynashamn, Sweden",,2
121,121,"Key West, Florida",,2
855,855,"Mazatlan, Sinaloa, Mexico Riviera",,2
33,33,"Baltimore, Maryland",,2
35,35,"Tortola Island BVI, Road Town, UK Virgin Islands",,2
345,345,"Thessaloniki, Greece",,2
1357,1357,"Seydisfjordur, Iceland",,2
702,702,"Akureyri, Iceland, Lake Myvatn",,2
20,20,"Auckland, New Zealand",,2
1013,1013,"Las Palmas de Gran Canaria, Canary Islands",,2
47,47,"Le Havre-Paris, France",,2
98,98,"New York, NYC Manhattan-Brooklyn",,2
alaska-college-fjord-glaciers-prince-sound-william,,"Prince William Sound Alaska, College Fjord Glaciers",,2
5,5,"Whittier, Alaska",,2
3989,3989,"Mannheim, Germany Baden-Wurttemberg",,2
2327,2327,"Dusseldorf, Germany North Rhine-Westphalia",,2
13656,13656,"Chateau de La Roche-Guyon, France",,2
290,290,"Salerno, Italy",,2
135,135,"Klaipeda, Lithuania",,2
673,673,"Isle of Skye, Uig-Dunvegan-Armadale-Portree, Scotland",,2
181,181,"Stavanger, Norway",,2
1202,1202,"Linz, Austria",,2
3992,3992,"Miltenberg, Germany Bavaria",,2
165,165,"Hellesylt, Norway",,2
547,547,"Geiranger, Norway",,2
945,945,"Portimao, Portugal",,2
140,140,"Palermo, Sicily Italy",,2
226,226,"Palamos, Spain Costa Brava",,2
412,412,"Wrangell AK, Alaska, Wrangell Island",,2
4885,4885,"Tracy Arm Fjord, Alaska",,2
alaska-inian-islands,,Inian Islands Alaska,,2
678,678,"Valencia, Spain",,2
9791,9791,"Philadelphia, PhilaPort, Pennsylvania",,2
1498,1498,"Bozcaada Island, Turkey",,2
183,183,"Izmir, Turkey",,2
681,681,"Monte Carlo, Monaco City",,2
55,55,"Hamburg, Germany",,2
2,2,"San Francisco, California",,2
57,57,"Oslo, Norway",,2
1140,1140,"Leknes-Gravdal, Vestvagoy Island Lofoten Norway",,2
151,151,"Tromso, Norway",,2
11075,11075,"London-Greenwich, England",,2
224,224,"Nafplio, Mycenae, Greece",,2
221,221,"Toulon, France Riviera, La Seyne-sur-Mer",,2
2187,2187,"Entre-os-Rios, Portugal",,2
377,377,"Madrid, Spain",,2
79,79,"Venice, Marghera-Fusina, Italy",,2
235,235,"Sibenik, Croatia",,2
244,244,"Crotone, Italy",,2
3990,3990,Main-Danube Canal,,2
11806,11806,"Le Pecq, Saint-Germain-en-Laye, France",,2
2828,2828,"Valdez, Alaska",,2
puget-sound-wa-washington,,"Puget Sound WA, Washington",,2
alaska-passage-stephens,,Stephens Passage Alaska,,2
2859,2859,"Stromboli Island, Aeolian Islands Sicily",,2
674,674,"Portland ME, Maine",,2
2206,2206,"Bath ME, Maine",,1
2205,2205,"Boothbay Harbor ME, Maine",,1
810,810,"Rockland ME, Maine",,1
543,543,"Bar Harbor, Maine",,1
11701,11701,"Bucksport ME, Maine",,1
17925,17925,"Bangor ME, Maine",,1
4647,4647,"Provincetown MA, Massachusetts",,1
16615,16615,"Plymouth MA, Massachusetts",,1
academy-bay-bourne-buzzards-ma-maritime-massachusetts,,"Massachusetts Maritime Academy, Bourne MA, Buzzards Bay",,1
542,542,"Newport RI, Rhode Island",,1
2207,2207,"Martha's Vineyard Island, Oak Bluffs, Massachusetts",,1
2242,2242,"New Bedford MA, Massachusetts",,1
250,250,"Bodrum, Turkey",,1
218,218,"Kristiansand, Norway",,1
186,186,"Maloy, Vagsoy Island Norway",,1
4307,4307,"Vikoyri, Sognefjord, Norway",,1
164,164,"Eidfjord, Norway Hardangerfjord",,1
594,594,"Philipsburg St Maarten, Netherlands Antilles",,1
320,320,"Goteborg, Gothenburg, Sweden",,1
1314,1314,"Ventspils, Latvia",,1
16,16,"Benoa, Bali Indonesia",,1
indonesia-moyo-nusa-tenggara-west,,"Moyo Island Indonesia, West Nusa Tenggara",,1
besar-indonesia-nusa-sumbawa-tenggara-west,,"Sumbawa Island Indonesia, Sumbawa Besar, West Nusa Tenggara",,1
east-indonesia-nusa-rinca-tenggara,,"Rinca Island Indonesia, East Nusa Tenggara",,1
924,924,"Cherbourg, France",,1
1219,1219,"Plymouth UK, England",,1
dunmore-east-ireland,,"Dunmore East, Ireland",,1
112,112,"Newcastle upon Tyne, England",,1
166,166,"Cagliari, Sardinia Italy",,1
1237,1237,"Norfolk Island, Australia",,1
611,611,"Nukualofa, Tongatapu Island Tonga",,1
424,424,"Pitcairn Island, Adamstown, UK",,1
602,602,"Suva, Viti Levu Island Fiji",,1
4806,4806,Dravuni Island Fiji,,1
749,749,"Port Vila, Efate Island Vanuatu",,1
491,491,"Puerto Vallarta, Jalisco, Mexico Riviera",,1
817,817,"La Paz, Baja California Mexico",,1
4225,4225,Bar Montenegro,,1
325,325,"Santa Margherita Ligure, Italy Riviera",,1
32,32,"Havana, Cuba",,1
miami,,Miami,,1
8,8,"Yokohama, Tokyo, Japan Kanagawa",,1
11,11,"Kobe-Osaka, Kyoto, Japan",,1
581,581,"Kochi City, Japan Kochi",,1
631,631,"Kagoshima City, Japan Kagoshima",,1
537,537,"Nagasaki City, Japan Nagasaki",,1
225,225,"Busan, Korea",,1
306,306,"Kanazawa, Japan Ishikawa",,1
474,474,"Hakodate, Japan Oshima",,1
9017,9017,"Tokyo, Japan",,1
24,24,"Sydney, NSW Australia",,1
19,19,"Melbourne, Victoria Australia",,1
613,613,"Adelaide, South Australia",,1
18,18,"Fremantle, Perth, Western Australia",,1
95,95,"Port Louis, Mauritius Island",,1
92,92,"Cape Town, South Africa",,1
587,587,"Walvis Bay, Namibia",,1
593,593,"Mindelo, Sao Vicente Island Cape Verde",,1
747,747,"Casablanca, Marrakesh, Morocco",,1
50,50,"Zeebrugge, Bruges, Belgium",,1
1063,1063,"IJmuiden, Netherlands North Holland",,1
1143,1143,"Grundarfjordur, Iceland",,1
544,544,"St Johns NL, Newfoundland-Labrador Canada",,1
664,664,"Corner Brook NL, Newfoundland-Labrador Canada",,1
693,693,"Saguenay, Quebec Canada",,1
